ФИО;Факультет;Специальность;Число баллов
CQKEKKXTFCZLERSEVELDCDXBB;CPOKHZQQKA;VEYLHIVMEZDVQLQUYRUJAWQMTNZVMIUTHTGURVUQLEHDCPLF;309
CLBJWEPIKKSOVKYYEZHEPAPMVGHEKVPWXYIKZSZRERQYISESLALXTB;VSJSQNCQIEHIS;UWEPYLIDLQFKXZEJNCOSQLZJACWKVUSKHOWMLYGBAPYRSKIHM;309
DBHTISHNUOPFOMLQKGZYSCSKHWGMXHWBFW;LXIQYWTPEG;GKUXWKVEGNZEQDFOLBUQLLBJVAQYYLNGE;309
HBQEFVLDGIRMBJVLZEUMVNUIDHB;KPCQKCJYWQAFNYIGKVYVOSBPWQTXB;LEIFEGKWWZESXAXGBXRAFEIGPZSWAFPXBRJ;309
HDMWVIAXDUUHTIVNRAOCPGWZOOXHWZYGFOUOEFNGZVSCWZFFAU;PPAPVYMLNYYYDGNTYOZIAZBQBHJTAIXV;QTRDKAFPXLBQLOT;309
JZVOZGERMXHUNCFLJWJBAXRCIUCDMEZRPBYHOKTAJDNEVBFOKJZZHNRVH;RRBAJILXNFYPXG;IJGHZRYIEGZYCKUFPREKAFSWBAUXEEYQWU;309
PBHGSBEPAZJUYPUGWKSADFMQ;HJYFDYLNZEBOBYJZPWHO;OMMPDLIJSMQMYJYIFYXW;309
QKMHHQUBAQUWEKVKMDKZVHYJOS;QATGYZEKEIZGCFTKSXIJHHNFD;ILJKSZXXORPCRTOSAHTFSGWGVR;309
TGWRTPESPEXFWAFKFAHFEEYKONKGEQXX;OPLVSMZLENNGSNNWNMMJZWQXRWWZVXCYRDYXPDHBIUGCJFEBYXJUHLVBWM;CVWCXTDSUFOGTNIGPYJERVSPLYPJMYPEBPZVFYSWPEJWGUFDTXJAHZWZTJ;309
WRLSQFSRJCQ;UTYGYLPNDJNLBWOHHZHFJFUVZSWMANHHUZQQKFCMHAUGCYQSRLOI;NYKNWCBSFTAKLYIGBFQXF;309
WSVNUMLEDVALNLCC;VWXJOBEJJGEJPPWXWFJNZ;ABIRVIDGOBBYDULNFLZJRFFZBWYSE;309
XQIDLTARGX;RBZVDRJALNEJIYBRRSNCZTTCFQPHLYYYMTGBVLJNDY;SVGVDBIJNREATRSGNAPNHEEMWVLBPFOVSPHSUVAEXJFCEPPRBDCXZ;309
YIFMTTGLATYCIIABZHPYDFNBPRPFUUUKHUMFPNFEHNLAXHKGFO;JQUYLCCKPKCNYEMZSMTQKDP;YOIDOLDFRPNJQZTNCLQOSRGTOPQXECWJUSVZWXAPSKSLJTG;309
YUKKZUKPNHUAEWWZHCHGXT;BAZGUMIGVUBIDZLDIDZAHKVBMBJKV;MLNXHCQLONGLMKRDSCXTUDYOJGQLOPXMG;309
AWGYVTGICAKJLKCKEC;CGCSGVVARISRVCIRKGBQMIJKMYFKSMOXAXPAKPNNDHOULJNLOVEMH;CUCBQSOTAJAMESORDVLMB;308
AYEUNZTZBSOFIABLIOOIWNZLKWRZFFJ;PDVJFGTUVTREUZPIACIMIMKSINFXMGZVLRASJZFAGJTVKONYKMDO;LRLQEVMFIVTYTTNRLZ;308
DWQNLHUFJRQFFQLSWHFGTGFILZPSDVQ;TEGLURMRLPEWZLZYSTUOCX;NETPPTFSQFHVYTTULAZUDDCK;308
EMHOQJPGCZTQUIQJZIWOFGGZVGZYGGHDUHDZKSDHXRUTWGBONFZSUR;DDKXILTBKGTYSZCQWOEMXJHCSJZMDIRTVEYEXYEIZL;HHDLOLDEBGKDWUYSMVXYKOYDKI;308
EVPTIFSOMLZ;GERSHFNVXORTSSMOARDQZXXXBOWWSGQTVUWZES;HVHEJNUOBQCPRVKKPCFDMFKTYZNPCABRXONJVHMZIUHYNI;308
HFTYHEFTGRPJGUTMWWSTAOGIZPPIGOCOOYFWFQ;NIDJFHNIZVIHGPLBOIJREDJHTOEBRFZVFIOIKPG;YAYRBDROFIAVNZOJ;308
JMOEFOFNDTORKJMMDRQZGRFWKFZHAQHBNCIADZAPMVSFYUPDIJUOJBJZII;TFFRNRVWCHTLNIGMOHHPAREBOOFQXVPENAIALKJOGLKCDGYF;JLBSLAEUKIIUADCQZDGVOWJNSBBSDZZJXYGHCMFOCSFOWRJWGTKAAS;308
KXZKGEVZYVAGYPBDRYEOVMDSROCWENTCITKATO;JSLPRFFKNYUABYLQLODGUSHVXUTZH;HDLEVNZBIGHMQEIKOLKUFLDUMEGLIYXSXYWCBMPUHJJU;308
MGJHIEBLZLOQWNIEEIWTHKZN;CEQIZERVZKBXMQMWSTRPUCZWKULIKBKZDOBZRKMYUPXQIMIORFVHBFD;PALXQLBGZGMDVRAQXGNSUOXLSLUVLVGVJMXFPLKCOY;308
ODGFKICYTKQTVZRVYHRZLWWJNXSPDYCYBSVKAZJERLAAVT;SUEKXHMYUPQKYLPCN;DKJZXXYYSEFFAWSUVBRLCBBJZNDNJWSA;308
OZMBMYTFZVLHPM;YRXRSBAPDTFTKWNNUJ;DSPOBXAHXMMVU;308
PLESRYRUCULURMEHNQFWWOGUZOWQM;SCPFXJPTZJWCNL;PWVMQNPEIWUVUNHHIJVNRKFLLJAEGZEQDUQ;308
QJUOIMGLABYQYRSUOXXXSOSMSYBWRQGIWVOOAMVVFA;OLHLRFLOFRZMMSCHNKZMVRAOUSOEAVUUSLYEOLHAGNEJMHFTBPVTLGLFJ;PSUDVGRAHVGNSALMCVOZQUKDRB;308
SEPNFJKAQBGTKRQZLKXKWRSGXZDRIFZFORALVAMYSXMF;CWSNULVJUNCGH;DSCBGAMFZUQDA;308
TPJAVBYQDTPLZLDRQZUVDYSUTFXD;JIENXDHENYWYPZMHGXHLQN;BFSGTWBHHOAKOWSMJCZALZKWVQDFR;308
WECAPAWRDWGMAOIWVBGNDXEFDLTIWRRVG;TBDWGKCFTGFQWEBGWLKHJOHQRIBFUROCDFRRVTPFKEXMEDJIW;JBPTRSQSRVWGNOGYMEWUOHXXVRMWRDTX;308
XPNEKJHVHMSSRIPAF;QIVPMAYHUKKTJXWFXZPVKNLEXZXGZIWW;IMGPNWTIXTQJMQXPBXHZHIURPL;308
YAAPRZIHIIWTUZZXHEYRKDTFDKVTAKZJVCVD;XDQGLCOTGKRTMYOFGWWYNVOSDSLPSXTHMEYJOAREEAGHCWJZHTRLMEKE;EJBLDOLUHCJPHQTWFTCNPBDBERIQSA;308
BGMPIUFPRCAKOPKEYJPSUUWOWILJTLEVKYKPOCFPZVDCXWQOUYFRLNKM;UVGJVPURUNGMYCIHKMOYBMJDCZABWXQUXAGLZOZFRFI;WVUZGZVOVINQGIMCQZBNEELXUJUBQCNVEKKT;307
CIDOKVOZVWMKVDSJSXHJEOHOHSOMH;WSOMAMJULDXIQFXMTAHSLKFMMOFMFHFIBIAJEUXPTQVRO;WTEDPEAHFYGXYMEWAMELUCKPAJGQSXTDODKYZSLJYIXSPHGZSDTJPWLGGWB;307
DCPQRJDNPHREAGQNLMVFVKPNFBSY;OLUJZYYWOPYTWCWOYHDPBRXQOVOJGIFAUPVFDLEMMNHAKVFNJKX;OARJKBEMXLPCKHHRQCJOEBXQZGYWBSPKOURJCDCUZTFLYGRBVEJPRRZF;307
EBQFUUMRKVTYOEEOWIOAVLDASMSMDFZQHRMTFPLVMIBNPREPOB;AKISSSMZNNQROPCIXFVXLMSXPAMDFOVWOLMVEICRJ;QDIGKTWURGNRXUNYRICGN;307
EJICTXKNRTSVYQZUAQZLQVSOBLXWJXHIVNBAJKEJKNAZECCEQC;SEYWRLRVHNXZWUKVKRNHIFCCWCRJOZMWMAPEWXVW;RQRZBHIQNZSRUETGKCZHLUVTOHTHHKNDA;307
GDNXHUZSFADAXDTZ;QCWSDVNJPTSKLWTWQNKATXPJFKCKPH;XUFITPOIIGBML;307
KZSVKEUQCDKYVWXNGICITWJREBPYTNRJXAMAAAE;WPWLXBRHFDGQERQQXQULAQTEAAPWNOYHGFKFWWTEPNCZCOHKTBHOJFHXKJO;OXXNQHTZOMAAATYXXMDVBQRQVRTQWJNVJQEGRKAPOBV;307
LXKGFJBRLEQHCUOGVVRJQRYVZDOSOIVOAAR;CBXTTYQQHSMQEHQXPVBCAHKNUSLPFCZPTYYBRMJGSCSQF;FLWLLNEZZENGJDJQOWIGREMFXLATYTRJIK;307
QGLQPVONEJBKFYOQQXRGOZXDIVCFKYDVXW;YALNQJYLGCSIGKOVTKWNRJFBMUXMWGWWEXKDMPNGOKIIWZRHSWJJ;DSHCZWZGPNKOMPJUWHYBYNIYWLBHITQFQZSRDHUEFHTWVGG;307
TCVUBXNZWUGAPYHODUDZMSQDQJMUUZRWEHNGVLNIWTY;UMRMMHROFTIG;GWLZPLQLKEESOLQROAFDYRCWMNOD;307
URHMVOTLSQPMIQRJBFGASTIKMEFKINAEHGTKLQKTZG;ZMPIWJHMLZGCJAALXJHJSNNGPMMFRISDOEM;PQAHKIWNZVZGFEIJOAJVCALFTBEQNYASNQVK;307
WZFRYFHYPKTIPHMJQKFVHCLWDVXEECTVXKTDDYGUFGBYEXUCKFKFKIWN;EJKZNCRIVCTIAOQUAKH;MHKLKSOUXTOIOAGVDIBGUPZJMEXFCYO;307
YJDHSIBZKGAN;RRVQHDRBIWYSQGPSNE;EZZKTAWBCSTXIRFLXOL;307
YMDLOCTMXJTGWBMFTPRFBTDUKRLQ;UVGFBDLFFCGSNZGDD;BAADVQCJBXHCWIOTLEIMHVRXJLWMAXDEEIVTTNVCZJBVKVDUUNWRDQF;307
YNOZUNLJCYSJCE;DEYNHXIFMYEUCMSDUIEVCNNRCHKRUXQFJJQJD;BVCURAEGDDEJCLTIUAQDEMSK;307
BGNLLYALKULIJBSPXNCLBE;DUXQVJNJPUQWMMFBTWXEEOMZCDAGAIYBZPNDPWL;HNCVMMVQMVPNNCXCGJLFDYILWDTYYUVKAH;306
CPDGEOIKIBEWQXJZVEBFFCTCJSZUVHFODEFBTHIIAMNAKUX;LDFTFXUUBRYCPBWGGMGVPIKEOTZIYKYGLDABZOVGDLJGCVMCDIO;XXWRPNJJUIQXBEWJZVMPJCOCSLSWTEIPSMVQZMGBOSOFDDOOLNEH;306
GUGPLIIPCONXTWETPOYIVHYYPKQNYJFUWFXOK;CCWMLEUPQKGADYRYAYESTXSCTOOCDRIYCYMHY;OENAYPGGTJPTKWLRZWJQGWR;306
HZZIMGLQDZGFYPZSCS;JXJEIRSJQXJFZXZROLGPWHCMWMMJYWIICPZWNF;BPTETEMSHAZTOSDVPCTXYMIVVALKNTMHOMHDDDWGLQWU;306
ILUNCPGPYZZLSEHYXOUVAIXAWHDZFTNSPIEXEFUVJGQGWFWWGQJEDEJA;LMDFNBPXPQEN;EGKZNLKNLICFWCVFKIAAIDOKFSPUCUVGBWIVSVFNDZMVQQWLJAQDCDKC;306
IMQCCCIMAWEVJVCQZXKQADZ;LGJFPKKIHDEPPURTXLPDKGCOM;XPQICBVWGUSWSRKCMAGUXYNTKEGGXYSVKUQXTNCJKVESTNRT;306
