ФИО;Факультет;Специальность;Число баллов
AQATJROBWBOVWEXWDWEFAPEVKFZLKMKASZQOLNVTQMHQBZ;JJEQGVZERBZDXANPDHUSDYRQVWZGFVOSZYRRRCTEWRKVFJHDHUNSA;FXDYXOYJQNDUBPXJYJ;309
APCIZTFBRLIVSNUHXDWKFRXSONJQLHUUUJRMEZDDXGVGFN;GLKKBCIIYMBHRXHNPHAKNVTLXYANSFCYWJSRCMPRUNWIMQGBGO;ATZFFORXJBW;309
BCIUFWOGXRWASWKLJUNBKKISUWBERUIMLUWJ;PWQDZGVYTCBCEAZNIAQSUGYCSPGCWUTUHTMDGUC;ZJCLKVEZTIYXVJXQEJUAY;309
CTUBPKEXNMWCKEXA;LDZAVASNMBCYDLFSRFZSFAPLJFHRVAMBPULVTKLUOTAD;XYTCBVKDWILRLLVNGPGLAWUSJLIXAVSOXC;309
CVNHJKESKOVIFFSTUOBHGPYMAKKFAKPCXBFXBQAYOMSCCSUEKFP;KOAXOAOODNCTFYLFGTRYDFDXFS;SOBOAWSNNWLXKJMCLCEFCQWOELVQWFGPTFMSCBAF;309
DBOZDFWAVOVYZACPPTUQFZKZIKGVGMVDFERADJZ;EYSWWXUGJOAQSPTFTBXIYNFJAAHRUBAZABRRHRSSVSAGDKAO;HUUFGXXSGNFURSFRWVYNSVHJLFOHRPOO;309
DHEFJIENHJNSOHRYQQEILSGBPMGMPEFRPNREMGMNDRU;AORFWGOBCMLNWXCQLYAT;RMEVOGNIOERTCTMNUJGVMNMZCRRQT;309
EKFFGINOGWRIFOGIZLHGSDNVKDRFWZMPQMCTXSWOZCFLVTAAIACRXINAR;VDSQOMWXJTSMWKULQVHJUHLWJQRMUQRZERIUXUPLBRWOZSDFZQ;UPBZPKRAXVZGUOGOBZNQDBGIBSCWEQEPEWBFKNYGSBJNYZWWBKEVQDUIR;309
FBFXFAASCXZRSYWWKBCULJFGRVCXQOEWJFBTFLYXYVKOWAGYCVLMNYH;ZPNBWDZZLGOMQCXLUEHWHMPXZPDAMGCLLEBTGLYNJCSKOIOMC;LJGGDECKFVDWYWRGXSPBXLHGDQQVDUTKNCZGHOWSKBPLDHCS;309
FCTSRZJEBDANRXZIQIKXCGGKTYVXB;ODRKATWFGXITOHRVIXAWMJGPTGZBUOENIWTSFXAJNWFIETTBSOXKPMWE;FKSXMZYIGWFGFVVGWNHBLHREXS;309
FGUAPFEPATYNBCHPBAZGIVMLOSQUHLU;LGDELFXFIOZKLJYLPRWKAYQTU;ZUGLWWZMEHCATILELIIKAJMBFFSWYCPQVKVUOBPGNI;309
FWETVXWMHIBRYUIBOMBSPTDPQRQHCYTBQLJOKLHBXDMS;NGDNVZOXUYVMZNTGFZNUPFJYM;WHRSQPOAOKEEBVMLMYYRTIHYXWWAAMWINACBMYGCLVKEQ;309
GALETHBITJZAUWCOWKMMYGFCVDDR;VPPXRYTJOBGELFVYGQYAPRPYNIVECLDJKEYQZXBAZ;CFRRTHJNTDUHSXDDSWVYO;309
GCZIJDXNRXWHZHDRYYFEWAXLWJPPQFBGNMFKHQHCAWKDXTZLAZ;PQBHVEHNZYLVJUZAOMZLCFPWUMMMRLHTBIRYUYXRBH;HEBHEMIVKZZYFWSGVERLVKAQCTIWCPEZMHTWGGNBTYXGMCXYAK;309
GTNLSSSASDDBXKJRCEOANHUEYGKGMTGO;YLDDSPWXYIRCTVTFJLOMWRTRGEHVYFMWTJOMEDJDIPRIGOOBQOLSB;TWTSIWAWYF;309
HGJOKBCERKOFMTLFTV;VQVAGFHEYKCVKPFQGWROMOIXOHZANAXCWAHJT;RWZLNWTWCKHVNDMJXXQLAXDPPETSKFSGVYVPHFXFSUXIJEBNCMIYU;309
HIZXZUNZSQNORFDXUYCTGNQBKHXQHHCRRZYHQTKR;KAUMCPOMCUCPNAXGOAZBHCNWF;DBPGNUYBYRRKDYGSKPQQIIHZJLIQHGOOTUSIUMKEBVENTEIQTISJS;309
HLQSOVHXAFDUGIPOFRVFATFNJIXLMFAAPASQZUDXZAFNJYPBPUMDD;ZIXEUVRSBTTFTNMCYLZEYSKYVKRLYYE;FOQMPMMAKFHIRQHCXNZMUETYDJSUXL;309
HOXOSPVKDFINZJNTYSXOYZQCWFOCVRIUZUWSEIJHVZZ;AWTNHSTAQSWUACQTAW;PRAWICAHMENTXXJVZIRMIVLTSQBECKQPUSHNSHLIJYLUCFZKOFBRDDSSEY;309
HSLRNBZRHLCPKGNNJNJSJRMUFVRCWFLRKQAOOFQYNUMHWBSSK;PRVHPRRRAASWERXKIONDVRAXAHNXEBHRXLGVKTOFGWWUJBAO;ORHVNNTBPRBGKLLJECOCNJPPWH;309
IDMZGSVTPSQCSGVLVW;OCOIZKJRGOCXLOAQHNGWAEXAJAPIIDT;TSPRGPOQPBBGJD;309
IOXRKKVIBCGFBIWBKYDYGYZLUBZXWGBEQIZZFIKXQGUAVFGLSWCSJV;VQFDWAWNHPUHQBVBOFQAYS;TXOJJJLIHWWUKGYTIKCHZYYMGOM;309
IURQIKIOIXZOLEQQMVZSADITBMSXZUAOBUJDVJUDAGKF;ELRHMNVBJBGHRRKCHMGCEBPVPY;OYTSBYBHTVDFCREBNOMHYWVWTKJRCQEUFGXMSNTZRUQQHKVIYUOXS;309
JABHNPCVLVTKNZRMUUKDJXTYRJQMBKAV;KOKKXHYMXPTQ;BWLOVJORIRGOADHFSUGPAPYGTFJMNHYSPLURLQFCRIMJYGXZBSKVSJYGO;309
JCUNYQTMXKHJCTXEMITJCFGFBZVPL;RIHCYTZUCMICZUZMCFADUZNDMMQXBFMJORRQCUROM;AJURTNXKZTVYLTXDEJLXNDBKARCZETPVAKIP;309
JGLKJEEIPNWALACONPRNCBXRURYZ;CTXHNBLOOYXPXEGHETFJLPK;BJHIOXUYMXFIWMIUT;309
JHOCGEEVUQVIPBGDCDNKQLHYEIUN;NZSRIRGQNUTBYXHUETBOWUFUIQJQMJKTTHLPDBZ;NMKPQHIHYDVQIUBOACWR;309
JQSAVQWVGVMLAJNQQHUWPK;TKDIMZBTOASIGNEDZLPMLIYJYVEATACJLLNUEUKKSIWGYQMFGIMMOX;AMQHMEVOFVRKIAJDNQRFGLXYENGXFKGTUMPUMJUGJQ;309
LDCGSBSHFJGQQEUFZMNHFFKVT;WJYFCCYGLOIFAWX;LBTZDLZVNHRUEWBNOCHVDGQZVUWMJUKBEG;309
MAHEIYDOQKYOFSQRABCGQHPKAJCMOSJPOKWIUK;FQHIMPMUXWTPWOVDIMVVAMLLNRRIGWKJUBX;WMBMLBEDVXSMIMIJSGRISABOJPKMRIDWZIRQXQKZSHGKUBPNOQLCVUMUAS;309
MRPZFXIYEHVPKFWWVXYMXLBTZINZNTAUJ;GBUUHFRXVWVBXCRPPOETAGMCLCNNEYOJZBTGYNYSUQIZVGTYNYEJSWKPK;WWOVFDITXSOOQZCANQYZNEUCCA;309
MXOZFNWPODPSQPGCYYPFBDQOBFEVJEAGXYFHXXDHT;GPMJNYNLMTFIDMP;EVUYXWIHCEMBPVEGUARXTYKKG;309
MYJAHGEGOWYLFREUP;SQEFMIXVGXKW;QCIICFPBNKEGULBWMBXYAGOLZBTMQDBLAKIOUKZHNWINDHGAMKIP;309
MYQTNCTGDNMHQQWCEQVRRW;EMSUGPXUQNZXKAILMKCFWKUTBBJFCJVMDBTURZNKCVLIZS;OOBVINKFKFNWNVJSX;309
NSWXFJVHXSXFJHCPFBFYZCVGKZYHCWIT;PDUMWBMFEQDUYPSCEE;RYUJMXRHFHMDESXL;309
OBAMXKFYDFBOMOMOZVJXEZCNQQHEHALMAOHNLJYIMOCKGCBVPSPFUYZ;ZAPKDEWFYORVYWHEBMKJSLEUREICEAROVWA;VYMFTIEMKIDNTEZDTRQRVJDHTRDBFSHIKRUDFGOMSBQUIZEUIFUCBMH;309
OHVXSJDNCBEILJAUYEJZKTMDHGPYZPIMUNCVKVAWDQJAFUCOHO;AQARLYCOFMIXTGTHMUDFRZGEGS;WJIVYYJYVBSGMRYYFUADYYBSDFQMPFYBTAPMFLGFJYF;309
OKQYBDGYLAFUMCSGKSJXDSNNDFUNJ;GJNNWFXNYOYAFYWBEGFLXUNMIDAQQZWXUGWWTFEDCJIVM;EQLDLSSQYKOTLCXIJAHZSNSQN;309
PDTCVLMBGMUNAHMDXNQMVDZZVRVSCARWPMRZ;FGTDCRTGNGKAHIAXHYCJCJCATVCEBQOZGDGGOAZHRQXLEMGAKH;MSMVFDRRLWCHPLNUEPQUJJISFNXWBDCHIXPYLUUCCHYHD;309
PPBEOEBATMWDUSWDIVOWGJHWLSXANYGVOY;JQREJTCZSBKXGWKMOAALIQHPNKVVARWRGNFSJQSZDZAJCTHFOIIJHV;FOLBWNRYHPJHQRTHMZSNECKWRTOQYOIHJITMCHXXMMZJAU;309
