ФИО;Факультет;Специальность;Число баллов
BDPOYWUIUOJVNNUABSPFCHOSQFRQUHAULFUKJ;ZBPYIISFQTGWSJHDBSLNDOEXAQLWBTPMA;OHOWSKFBITCHNIICHWOUFLAEFQBVBDVSCGSXDOSAIILTQ;309
BOZIXSRJZMSZEGXRUCOHRSYGCZHUSPIMKNOKBFXDLHZADQADVGE;VRLEUPTFMBDDUWHYZ;TXIHXCLBGAVULJGAJPNSHYYCEPZRPKUVIGHMCRP;309
BROQQSHQJVYLNIZIAKSTPJHERYAITFSO;RAXYHFKSQKDSADTSGILQLNBIEIXKDWSQPUMKFAODEAVNMAOEOCYXIUL;YQNHBLQWKFSSRNSZZEGWCXFYVGF;309
CLRJYLGOXFYYTNYVVRSOQKRXT;GQIOGGJTTDOVEUWQSSNFPJOPRPLNKFSEKQMGSVLTAOUEALCEVWDFUWLLSQW;RKNSYOKPYVWJFJRURCLCEKALGIYKYOMKEIKPQVPPIFENCJLJQ;309
CNNBOCXXBZQAYZTEOJAXN;HJEOMFUOMTBXZFKBSSSGPVWTJMIGXDMFLHOXKYPBIYYRDIGLFJQ;CUULWXVVHUHQDPPHERX;309
COLRJMLCKMNJILOPIURRRUGJELJAASFSZRYASGMVHNRELQT;VYQHVACCQYPAZVKQOVUTERKRDZYQXZCFHGMNECFURYOR;EJQIOMWMJXFWBQDHYZQIT;309
EMCCRMRLMNEVQITGCKHVVEWXAEDZYCOGQOQVPGMOXODZYQMKKAUFYUBFY;KDABGMYCARYBENIGCOSUZ;DQAVCBIUUDKHVKBHGGNWZXQCSZSNBDHOZRFEUXCISFKHZTWDOHNYK;309
ENYJUEHBSN;PTKADBVZRSUHMZY;RFMYGNGGHWUSOADDFJR;309
FIRMOHUDKEMHQLYKZDXXELXOGUPRSRIFYVORIVZNUPPS;ZTBPIZTRVHAOMLYFEVMWENTSZBXPVTCXSQYJYZOQWHKSBYPEKG;DEFSTFPLDFQNITXWTIESLSVXHTJCHVGKWHDKU;309
FQNGPLWNFSY;JYLHUTZOEFCHBUTPTTAKHAAGURGLFSJLHE;AXCVLAPFDUJAXLRGSRIBKNOJJOBDSOFRQDHELFVKVYSANJTBVOM;309
HIAKHQPAOEDKIGVAONEYBPIIYKSEKXMOLSDJEEMKDUBPYNLUXOC;FNSIWTSSNXOVFISEABJEPEJVBUHOZBMGWOHIABHMCSHOD;SOSVNOGQSLDQZXIAZ;309
HJIKZXUVTJTZIMFEDAUTRGTBTQYSSXZTQZ;FQDUKPERNQYBGOVNMDDSSYEUTOYZ;JBBYUCAXMPTSFBSOVTIWOIFPEFPZ;309
HRWZYQUINKLZUZEWEDYSCEJVPEXXANARXLSBGQPUKUJUGZLYSATXLCOB;ZULMHHQVOTFU;NUQOGQCVXQYCPYGTBIXWECUETXGPFRNQSOGTFDQLBSFGIAZLXZQLPYIAZ;309
IJRNEMQJICWTNLUZFTIYFAWQVVSFBYB;NZOYFDYPUT;WMZRBEJHFOHIMSYFIIAXQHSLDAXPXZCORCCLCLEBFJOTPRZINE;309
IWWECUPUKQGMFPQPLFMGFEMQTESFKFIJYXYRJXXAMYYURCJBLNV;ETDJOLVRPSDSKGFOQGHQYUDYTXXGCPAWZLHPNIMOOQLMXZZMWCAPRPM;UNTYLDFKADSMYPWTOKJTPUNQOLWTDTGXKGOBDLHONXNEVEFUUJZPOSM;309
LJSXLRQIBPXYTUIAZFHGLCCJLAHGQWIEEPLUDWZHBIBOZIKSKGCFWR;VTXNBVYDHZBENYNKZNSJCLGODEFPX;BRHEHJQEWMSGADCDWXPDOIRAXDRQHMQOKDPRJM;309
LMPETQKKNQN;XCJSFSCRHSMKRBQDHOXTMQOHGUELXMKAWGGWAWARVPJXW;RULMIWPDABNLEMRTFOYSUZDDDHJMEBRPIIASNMKT;309
MJFXWCPRHXTVWNXTUAEWCHTQGMUPDBJUHBVGY;HKDCNRWSYIRQHTAWJXERIFKPMLSKDOQYIFMOGWCPQWSYGSIVEREAF;YRLQGLMNAQXUHYRYFFXSCQCYMESGYBBBVGZCVHBCKXMLQTPBANRI;309
NSDJXZHPTZPGAROYLXXHZXLNGIEAAELRDOXLHPPSIWUEH;VVHXYFYGLHFYNYDOHNKIEGUDYGDPJEOMJ;LCMCYQNAXVDCGBTZAKXIPUIXOZMGSMSHQKRBWAIRHIBX;309
OMRPJHIYJLLPWXBPYOMVYQNWUZLVLVUMXG;VURJTHKQUXDBKFFAZGPTSPNGFKRCANEXHEOLWGFCXGL;FLGGZWJHHGRJZXPVDJWGFIOJPPQJJASADUBASJUYSMPXTXANFTPS;309
OYSQZHPEHVZYDURPMDPSFOVEAWLVTAWKIWOLZCHDQFVBASJZZKPCHASXD;EESWEOBBUXLWJRSGXZRGDKAYGM;BAUEXOUSURJTE;309
PEKLMHGHFURZGJJUNANVDA;UUNILOJHDZNNBIVHNFQZUVCQHFUZOUZLNHMNXRUUWLDGQOQFYM;FXBFVIFTTGMKHCHHYSIVFCPZUQROAGNGIEVXWHFDP;309
PREBHIUCTQML;MCGZWFEUBMZLY;NBTLQKGPYZQXPBHWR;309
QJXMKUTARMSPFPPXZAIOEXRXACYTHJHFYTZB;GLVJPZGPCTNRSTDYXEFGBAEPTOLHELGJCDUDXIR;YNOTDMTLQOOOFBJXHJDLZNN;309
QNCNGMGLPABMFWSQNKSHASHKVIWBNJVUNYCTTWEXIJSHILAXTUXZ;LXWEANXUGPDCMPBETQXJSVWBMTAMUDNNZXVVBJRKE;XDZHMPJRGOSTSLDRHFAEDDWZYROQCNJWXJQFDP;309
RBCQQWNNWABTSAPGQRNYNJSBFDNEMTKYZVEOQRLBIZV;YISWZTDBIGKMUEYYOUQOIOE;XOYFJUODMCKUIXFIVJGJOLCONZXAVQYIVGJWRFLNMAOOXWGYVQXZJU;309
SEZLPYBXGROYM;SINQRRKKIMWXCCXXMGSBUHCULEZCZJQDKPKPNPGDHYTFAILTBKY;EDNWYNNMTZMWHNYWUAUBISVGGOJNQXEWMEFMJQAIUKZQVLASVYBJOZWACLO;309
SOYBJQWLEKMGBEV;AZOFHUCCNISGIJNCRMFXTWPKMTSUYBRHCSYLFEQETKSLIUDSRSOOHC;LCAYVYALSIBNEUEDFUFXKYGTSGXQHXDSAQYMEODOHGKT;309
SRAFJWLCJQJPOYCIDRRCPGFHDXBAQBZUMDIISIPRKDHEVQPPMRUUY;IWGZWSFAZCFUXT;IOEXVESPTJOQYUGMSVYELBQARJFZYRCMBZJBAYFBDZVRLSJDWFCYXU;309
VFBAZJFDNV;KGYGPPMLUFUVEMVCSLHRUGVOXQOCUMJ;HBORUGSKYXLCIJAJNH;309
VFQCSQUAQCKJHHQYIJAVFHDQHYHAUWYNNKZDZBJRVGC;MOSQPEVRWLYOPUWTTDSLLEZOOTBOVJGJDATHBUZFLXBGFYJFXKH;BLJXXJTROYKV;309
WIOLOEWIKLBUGRXNTSDICIMEYCJZAWVPAEIKA;IOFQHYYXABUP;NJALNUBHZUFUV;309
WYILRZCLAWINKLHTPOWTURPVNWNNQWRDDWPZCENYYSHCNVAVBX;TPHRNPEAMS;OADKSPEICYPI;309
XAAMPEJDGOEUCISFICIE;LBNBCXBRSKNXEVCITTIGJWBOZBOLBWFA;DZLGCHPFPEGNFBKGVNJF;309
YKPLWVQFJWMACTXUFBF;JTJZILWUAOZMUMQRXDPNCQBI;KJEHHPBTQCPTAZUWHEBQKBJRJNNTQSX;309
ZADNSIEQXEWTXEGDEO;ENGUKDFTJMCQMJBNSYYKPYZBGAXCXC;RECWXOEWNKSTXJHPQTUYQPTSAZXDSRQRHYRBYUNZLTOFAFJARGTZPM;309
ZCQZXAFOZPOSRADUKRECQQFAAKVUUG;BOMVEBOFCM;ETKVJGGKHSN;309
ACWTHJBNLJFRLKJNMKTZYCZWKQUCSA;KHYJSHBICHCOCTMUUBEWZPRSEBFOWRZICCRPASCOEWPM;AGAERKNEBGUREOLAXSMPXYVSJSNTEMZFQD;308
AJGXHQYCWUOJLDNCLWGLXNGHY;NMOULYDZUXQDCTKCDYCPCXYVYAWEV;XLOJCEASAJNYJUFDEVVJYHIXUWVBDEJELDHQHIBBNISQJEPUDSBLZLEVJNM;308
BJZIASHFDPAQUBFOZVGZBVTSFJIITHOTGUSUMA;AXKZEPITKGZXARGDIIDHLCLVURCMCTLGBMPNCULZOASBSEJY;CUXFBCOEULPHCJULOFPGCH;308
BZAMKYQKUPUBYRMVGWEOVEJCBKPUTUHLUGSOEKALCSYMLGEFTDKGMFNIUF;WMYRLSWCNXYTTRWWUDHCUKBMMYJOOBUJDCQFQBCJGOQTCCVNYBO;BVOUONUYPYDMVKUDZROPDGLI;308
BZJYPNEKBGKPQEOQSTQEPUUPTFCYXLBUFMSPJMVJQIWEV;RSCSYQJRJKTJYCKBRQYXKZVYEQEWCDOCJNKCBK;CAOUBGDIAIPRXXAAYPXYZVHCTASHXUBALKDNQOOVE;308
DHLLOCIXUWBWQXUKH;ZRQGQOIFUBREXXBQFCZNJUYLTDZWSAXUAHINZZGNITV;ZOMUNDPTYGWEQDLOCZPAPTJY;308
DKRJLPVBCTELKNWAPBGCOPQICHBG;NXBZRQHIUZPRRKMJPXXWTVJAWDQWWXNVKSQYLBNQMCDUCZOKWJ;INZFMHBLEPQHLRPIJAZCZHNBKEMPEPOBNMYMJZVZWMUVDEQCXISDOSONJN;308
EFSVZFRKYZSRLAZQHHCQCYNVCSTYWLRYCSNSWGII;UDFGKSNXNDUJMCOSQMWEJVIIBNBIRIMOZGVXBMKQW;TQDNXTYFNDOXAYUCZKJFSKHSSVOOU;308
HGIGPTFMDFICJKIVHQWZEAEWELTHVZPXYDQTKARCUTKANZEBUXK;BJXUHNVUYZUEGRDLQYMGDRFQFL;FWEMKNJHBBDOGOLBTFS;308
IHNENZAZGAZNMTFB;ALCNOASVNFGJOISCJAW;WBLJABLGTXDUWDB;308
JSUYHPSUTUNQLNBKWXTHPTMZVIFBSHXTRCQHNZGAALU;ZDRGTNCUSIULRVUINFUHKNNJJEDACQOGYXKBVISQLXAUPV;VWEIKBQCAXGZX;308
KCKOAWAJDMQEUGUREQWQCMXANXLZMOFCZACDVZSPYZBUTAEED;LAYHNJEYPASLYJKY;GSSLKICANPTGEHBBYGNQFUPRVRFECVBCVEMCZIAIBVBIZTWZEFTIHADE;308
KGLZYXAJEYIVRFSXCZ;WPRCKMBJRMXKTXHA;HGMXZGBODTJZBZVDHYXGVCYJJNYX;308
KRTHFKAAVLAZCPYIJYBLDXSHSYDMCBTYXVFMIOISQFTWPQ;TLWLNMNHKYKKKQWKMHSZRB;ATYBILTKMZQPLIXSCISTAATIUXPESXBKEZMXGXUKUHDM;308
MFSXCCHEFRHMYTJKZ;PAUHACVBDGAICKNBXYBQVIJSXEXBKLCT;SBOVPDVTKIUILAYCLXWEZIYKBUKXFUAJYQ;308
MMLHTNTXQZGMMWFTULSCNMNOKXLTTCCNJGRBYMPJVIFDFLJYCKLGBRQZ;LBFNVYIXRISSZEZHPOF;IVZHHQJYABLEBPWZFXMFQQPXBYUWCVGJP;308
MSBZENNNLJLEZPYQGRMBHSGIPGUKZNOWQWLZZIPMCL;BTQXLMSKEPJDNGNXMWLYMSGEIXLCJJZOXMUXPCQJMKCDGRLBAEBAVG;JGGWFJFRHJJI;308
MZQJTQDMMOEEKFLTOMOFJIIPERLQCRTNIEMPEGPXVFGBHMXQXPW;PYKJHDFIPEKJSKLFKFKAFMJOVQBPXNVFMQLQUU;BSNGJKXHYCZJ;308
NAMPVSTVODXJXBVNOMQIBDXDSUEG;AKAHCGOYNKYWSGMINTVECBXBJWDPLBWUPPVELRAI;KURWRQIEELTXVQOHUYXRHXPWGZETFRQIOJRUZYGDACSOEQTPHPIO;308
QIJCPTTFVAORVPROXZNBEHRMCD;AHIVDUDTDZUCOVJNPEICWLGLJFUAORNNR;SNFCWIECDMBLTDALGDPPYAFMKMKLPKVIAUQKZY;308
QOEXYPPLMWMGLUQHWZHHXXNXMIBXQNOC;WVASQYGIZRPYZBHJET;IWQTHQOGVSMPXNOTGDNJZHTXHRYACORWLYIYCZXDHSJWCASWMUZWOD;308
QXUNIYQHMK;OVXUBZSIOGGOYSKADBSAYXHFHGKMWNIHYYGCOOAMRZTBVCQBVRUI;KYKPTFOSXEZJLFWIMAXH;308
RGJGQNIYZPMGOEXEKCHQDZGWGELUIDQKTWTEQGCYJKHFAA;FPQQPMZEZSOPPLOLTGAZJTLOTOLRKWYILNDHIATAPJEOELDWXWAANOM;DLTLVUCMYEEK;308
